                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1534,                 1.4669,                0.89038,                 1.0409,                0.67818,                0.55184,                0.61985,                 0.3647,                0.70532,                 0.5445,                0.60117,                0.28375,                 1.3493,                 1.7653,                 1.1636,                 1.2306,               0.001307,               0.001307,               0.001307
                     37,                 1.1425,                 1.4468,                 0.8844,                  1.035,                0.62636,                 0.6072,                0.60791,                0.36297,                0.63595,                0.56956,                0.57853,                0.29537,                 1.3302,                 1.6901,                 1.1552,                 1.2297,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1477,                 1.4439,                0.86927,                 1.0337,                0.68723,                0.57119,                0.61904,                0.37607,                0.69578,                0.56628,                0.61493,                0.30857,                 1.3389,                  1.719,                 1.1378,                  1.225,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1241,                 1.4118,                0.85027,                 1.0233,                0.66132,                 0.6136,                0.64255,                0.39157,                0.67097,                0.57738,                0.62847,                0.31645,                 1.3173,                 1.7132,                 1.1136,                 1.2312,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1223,                 1.4167,                0.82987,                 1.0183,                0.68126,                0.59902,                 0.6339,                0.38961,                0.73861,                0.56883,                0.62987,                0.31012,                 1.3035,                  1.732,                 1.0835,                 1.2074,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1228,                 1.4316,                0.84045,                 1.0241,                0.65783,                 0.5761,                0.62225,                0.37756,                0.68357,                0.54992,                0.61265,                0.29572,                 1.3222,                 1.7027,                 1.1456,                 1.2182,               0.001208,               0.001208,               0.001208
                     42,                 1.0977,                 1.4137,                0.80992,                 1.0173,                0.63799,                0.59574,                0.62431,                0.38847,                0.65772,                0.56956,                0.61757,                0.31243,                 1.2937,                 1.7023,                  1.117,                 1.1878,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0848,                 1.3957,                0.79827,                 1.0106,                0.67394,                0.61866,                0.65588,                0.39622,                0.67103,                0.61095,                0.64647,                0.32088,                 1.2934,                 1.6618,                 1.0543,                 1.1989,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0893,                 1.3915,                 0.7893,                 1.0015,                0.62438,                0.63339,                0.65366,                0.38788,                0.66361,                0.58265,                0.63993,                0.31255,                 1.3178,                 1.7162,                  1.087,                 1.2082,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0851,                 1.4073,                 0.7914,                 1.0106,                0.64837,                0.60658,                0.61466,                0.36906,                0.69833,                 0.5721,                0.60614,                 0.2929,                 1.3436,                 1.6999,                  1.113,                 1.2414,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0683,                 1.3649,                0.78312,                 1.0026,                0.65835,                0.56792,                0.62149,                0.37553,                0.71554,                0.52373,                0.61301,                0.30893,                 1.3678,                 1.7157,                  1.172,                 1.2385,               0.001109,               0.001109,               0.001109
                     47,                 1.0791,                 1.3838,                0.79986,                 1.0075,                0.70233,                0.60556,                0.66475,                0.40578,                0.71028,                0.60556,                0.64811,                0.32023,                  1.262,                 1.6622,                 1.0736,                 1.1874,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0595,                  1.373,                0.76471,                0.99979,                0.68764,                0.58592,                0.62564,                0.38674,                0.69913,                0.57119,                0.61954,                0.31874,                 1.2673,                 1.6372,                 1.1206,                 1.1832,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0649,                  1.361,                0.75663,                0.99951,                0.66586,                0.61375,                0.65264,                0.40291,                0.70533,                0.56301,                0.62939,                0.31643,                 1.2643,                 1.6614,                 1.0676,                 1.1787,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0495,                 1.3416,                0.75773,                0.99085,                0.68907,                0.58756,                0.65402,                0.39894,                0.70397,                0.56825,                0.63118,                0.32447,                 1.2542,                  1.656,                 1.0731,                  1.172,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0433,                 1.3528,                 0.7408,                0.98836,                 0.6597,                0.61047,                 0.6413,                0.39282,                 0.7278,                0.56792,                0.63532,                0.31443,                 1.2922,                 1.7002,                 1.0983,                   1.21,                0.00101,                0.00101,                0.00101
                     52,                 1.0263,                 1.3194,                0.73845,                0.98752,                0.65902,                0.60556,                0.63803,                0.38593,                0.69464,                0.57119,                0.61512,                  0.307,                   1.29,                 1.7167,                 1.0948,                 1.1949,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0351,                 1.3168,                0.72554,                0.98695,                0.63667,                0.59902,                0.63294,                 0.3855,                0.65516,                0.57527,                0.61352,                0.29683,                  1.316,                 1.7305,                 1.0738,                 1.2095,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0296,                  1.312,                 0.7204,                 0.9893,                0.64883,                0.62292,                0.63976,                0.38313,                0.71753,                0.56465,                0.62573,                0.30069,                 1.3276,                 1.7234,                 1.0905,                  1.233,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.012,                 1.2764,                0.71505,                 0.9727,                0.62778,                0.61832,                0.64395,                0.39589,                0.67589,                0.55633,                0.62896,                0.31997,                 1.2922,                 1.6836,                 1.0543,                 1.2204,              0.0009308,              0.0009308,              0.0009308
                     56,                0.99107,                 1.3053,                0.69488,                0.96794,                0.66374,                0.63339,                0.65639,                 0.3981,                0.65786,                0.60229,                0.62898,                 0.3124,                 1.2816,                 1.6873,                 1.0555,                 1.2213,               0.000911,               0.000911,               0.000911
                     57,                 1.0074,                 1.3193,                 0.6925,                0.97866,                0.69454,                0.59902,                0.66963,                0.40738,                0.68214,                0.59411,                0.66154,                0.33143,                 1.2962,                  1.686,                 1.0497,                 1.2189,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.9785,                 1.2829,                0.67057,                0.95887,                0.67077,                0.65024,                0.66934,                0.41401,                0.71504,                0.59138,                0.65404,                0.33731,                 1.2521,                 1.6835,                 1.0458,                 1.2056,              0.0008714,              0.0008714,              0.0008714
                     59,                0.99169,                 1.2829,                0.68286,                0.96789,                0.70497,                0.64137,                0.68613,                0.42513,                0.69117,                0.59738,                0.64054,                0.31318,                  1.253,                 1.7509,                 1.0134,                 1.1937,              0.0008516,              0.0008516,              0.0008516
                     60,                0.97869,                 1.2701,                0.66603,                0.96049,                0.69987,                0.63353,                0.67377,                 0.4127,                0.68899,                0.60884,                0.64507,                0.32005,                 1.2513,                 1.6917,                 1.0487,                 1.1894,              0.0008318,              0.0008318,              0.0008318
                     61,                0.98342,                 1.2616,                0.66769,                0.97046,                0.68309,                0.64484,                0.67042,                0.41986,                0.75991,                0.57938,                0.65973,                0.33314,                 1.2589,                 1.7117,                 1.0464,                 1.2092,               0.000812,               0.000812,               0.000812
                     62,                0.96103,                 1.2584,                0.65473,                0.95514,                0.68667,                0.60393,                0.66148,                 0.4139,                0.71658,                0.56692,                0.64989,                0.32909,                 1.2174,                 1.6982,                 1.0191,                 1.1766,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.9718,                 1.2631,                0.65094,                 0.9595,                0.65927,                0.64157,                0.66156,                0.42091,                0.68692,                 0.6072,                0.65573,                0.32382,                 1.2343,                  1.693,                 1.0185,                 1.1855,              0.0007724,              0.0007724,              0.0007724
                     64,                0.95367,                 1.2763,                0.64579,                0.95349,                0.67903,                 0.6371,                0.67452,                0.42188,                0.69389,                0.61216,                0.66159,                0.33308,                 1.2586,                 1.7151,                  1.044,                 1.2036,              0.0007526,              0.0007526,              0.0007526
                     65,                0.95224,                 1.2489,                0.63923,                0.95627,                0.68994,                0.66121,                0.69456,                0.42881,                0.67562,                0.63502,                0.65927,                0.33261,                 1.2269,                 1.6714,                0.99124,                 1.1832,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.9552,                 1.2531,                0.64239,                0.95432,                0.69921,                0.62684,                0.67537,                0.43548,                 0.7342,                0.58756,                0.65969,                 0.3349,                 1.2245,                 1.7072,                 1.0144,                 1.1692,               0.000713,               0.000713,               0.000713
                     67,                 0.9452,                 1.2375,                0.62842,                0.95143,                0.65985,                0.62864,                0.66879,                0.41695,                0.68786,                0.59083,                0.64934,                0.33066,                 1.2534,                 1.6951,                   1.03,                 1.2018,              0.0006932,              0.0006932,              0.0006932
                     68,                0.93599,                 1.2369,                0.62081,                0.94313,                0.67201,                0.64157,                0.67024,                0.42121,                0.70093,                0.60065,                0.65605,                0.32794,                 1.2527,                 1.6663,                0.99873,                 1.2218,              0.0006734,              0.0006734,              0.0006734
                     69,                0.92136,                 1.2342,                0.61026,                0.94372,                0.65652,                0.65139,                0.68166,                0.42556,                0.69493,                0.62357,                0.66845,                0.33608,                 1.2564,                 1.7002,                 1.0427,                 1.2351,              0.0006536,              0.0006536,              0.0006536
                     70,                0.91063,                  1.214,                0.59724,                0.93929,                0.68044,                0.65794,                0.69138,                0.44529,                0.68991,                0.63502,                0.66489,                0.33912,                 1.1906,                 1.7185,                 1.0048,                 1.1647,              0.0006338,              0.0006338,              0.0006338
                     71,                0.92504,                 1.2206,                0.60896,                0.94219,                0.72068,                0.62496,                0.66953,                0.41542,                0.72849,                0.60065,                0.65556,                0.32241,                 1.2685,                  1.706,                0.99936,                 1.2257,               0.000614,               0.000614,               0.000614
                     72,                0.91202,                 1.1947,                0.59091,                0.93714,                0.72335,                0.63011,                0.69316,                0.44102,                0.72903,                0.61702,                0.68011,                0.34657,                 1.2009,                 1.6688,                 0.9872,                 1.1823,              0.0005942,              0.0005942,              0.0005942
                     73,                0.90719,                 1.2356,                0.59374,                0.92851,                0.73579,                 0.6383,                0.70389,                0.44912,                0.73333,                0.63339,                0.69605,                0.36088,                 1.2068,                 1.6896,                 0.9885,                 1.1977,              0.0005744,              0.0005744,              0.0005744
                     74,                0.91004,                  1.208,                 0.5859,                 0.9363,                0.65475,                0.69558,                0.68759,                0.44271,                0.71635,                0.60065,                0.67092,                0.34601,                 1.2053,                 1.6769,                0.98572,                 1.1967,              0.0005546,              0.0005546,              0.0005546
                     75,                0.89592,                 1.1839,                0.57685,                  0.932,                0.68743,                0.69109,                0.70326,                   0.44,                0.74522,                0.62684,                0.68692,                0.34728,                   1.23,                  1.688,                0.96321,                 1.2086,              0.0005348,              0.0005348,              0.0005348
                     76,                0.90905,                 1.1859,                0.58105,                  0.941,                0.74303,                0.62357,                0.68881,                0.43126,                0.76163,                0.60661,                0.66922,                0.33272,                  1.247,                 1.6931,                0.99765,                 1.2138,               0.000515,               0.000515,               0.000515
