,0
1592,386
1593,388
1594,389
1595,527
1596,562
1597,559
1598,560
1599,694
1600,694
1601,693
1602,218
1603,218
1604,566
1605,565
1606,565
1607,565
1608,546
1609,533
1610,533
1611,533
1612,682
1613,665
1614,1194
1615,1210
1616,1141
1617,275
1618,293
1619,329
1620,329
1621,329
1622,160
1623,162
1624,161
1625,161
1626,301
1627,302
1628,283
1629,283
1630,283
1631,281
1632,314
1633,176
1634,175
1635,176
1636,851
1637,865
1638,860
1639,200
1640,153
1641,171
1642,213
1643,322
1644,331
1645,331
1646,331
1647,329
1648,400
1649,392
1650,237
1651,240
1652,907
1653,907
1654,908
1655,908
1656,309
1657,310
1658,731
1659,734
1660,732
1661,417
1662,415
1663,1316
1664,1285
1665,1285
1666,1284
1667,297
1668,298
1669,299
1670,14
1671,15
1672,14
1673,14
1674,400
1675,313
1676,397
1677,453
1678,401
1679,401
1680,238
1681,240
1682,363
1683,293
1684,294
1685,293
1686,325
1687,332
1688,335
1689,341
1690,338
1691,337
1692,214
1693,215
1694,0
1695,0
1696,341
1697,344
1698,344
1699,341
1700,414
1701,421
1702,422
1703,137
1704,294
1705,294
1706,23
1707,23
1708,82
1709,188
1710,187
1711,435
1712,444
1713,87
1714,87
1715,85
1716,85
1717,164
1718,155
1719,183
1720,179
1721,180
1722,178
1723,178
1724,86
1725,115
1726,104
1727,104
1728,75
1729,0
1730,0
1731,63
1732,61
1733,0
1734,0
1735,583
1736,612
1737,628
1738,179
1739,178
1740,170
1741,166
1742,168
1743,171
1744,173
1745,472
1746,457
1747,0
1748,0
1749,0
1750,0
1751,71
1752,72
1753,72
1754,267
1755,251
1756,252
1757,251
1758,205
1759,202
1760,347
1761,389
1762,359
1763,912
1764,923
1765,923
1766,1145
1767,1145
1768,1156
1769,1157
1770,1155
1771,258
1772,176
1773,760
1774,754
1775,403
1776,443
1777,436
1778,448
1779,294
1780,294
1781,293
1782,1003
1783,1003
1784,883
1785,883
1786,32
1787,32
1788,32
1789,32
1790,248
1791,247
1792,248
1793,682
1794,696
1795,391
1796,379
1797,380
1798,380
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,263
1807,316
1808,355
1809,357
1810,211
1811,209
1812,0
1813,0
1814,0
1815,262
1816,316
1817,316
1818,316
1819,643
1820,646
1821,645
1822,645
1823,266
1824,268
1825,280
1826,282
1827,432
1828,429
1829,431
1830,797
1831,802
1832,794
1833,191
1834,178
1835,178
1836,978
1837,955
1838,927
1839,900
1840,1187
1841,388
1842,388
1843,372
1844,359
1845,359
1846,359
1847,303
1848,304
1849,303
1850,303
1851,376
1852,372
1853,371
1854,1000
1855,1002
1856,1004
1857,395
1858,394
1859,394
1860,728
1861,722
1862,757
1863,0
1864,0
1865,0
1866,475
1867,474
1868,441
1869,441
1870,315
1871,316
1872,187
1873,187
1874,187
1875,187
1876,187
1877,187
1878,329
1879,328
1880,221
1881,294
1882,298
1883,325
1884,330
1885,538
1886,539
1887,539
1888,539
1889,361
1890,353
1891,1153
1892,1271
1893,1270
1894,1271
1895,550
1896,550
1897,0
1898,0
1899,0
1900,260
1901,267
1902,253
1903,382
1904,376
1905,378
1906,375
1907,1003
1908,1006
1909,999
1910,1003
1911,707
1912,706
1913,0
1914,0
1915,0
1916,410
1917,410
1918,410
1919,410
1920,487
1921,482
1922,485
1923,626
1924,628
1925,628
1926,628
1927,472
1928,475
1929,476
1930,186
1931,377
1932,395
1933,397
1934,444
1935,447
1936,446
1937,370
1938,380
1939,379
1940,376
1941,0
1942,0
1943,369
1944,369
1945,370
1946,370
1947,370
1948,231
1949,231
1950,228
1951,371
1952,104
1953,105
1954,105
1955,57
1956,405
1957,406
1958,405
1959,405
1960,403
1961,407
1962,14
1963,14
1964,15
1965,176
1966,177
1967,177
1968,0
1969,0
1970,992
1971,1021
1972,1008
1973,256
1974,255
1975,324
1976,317
1977,322
1978,1370
1979,1376
1980,1373
1981,1374
1982,391
1983,388
1984,388
1985,388
1986,291
1987,294
1988,401
1989,393
1990,725
1991,726
1992,725
1993,725
1994,301
1995,298
1996,298
1997,298
1998,500
1999,500
2000,357
2001,326
2002,326
2003,326
2004,326
2005,262
2006,264
2007,213
2008,189
2009,337
2010,31
2011,31
2012,56
2013,56
2014,291
2015,307
2016,307
2017,291
2018,291
2019,291
2020,291
2021,291
2022,279
2023,278
2024,339
2025,341
2026,119
2027,120
2028,120
2029,120
2030,0
2031,0
2032,0
2033,0
2034,300
2035,284
2036,442
2037,417
2038,218
2039,211
2040,211
2041,211
2042,570
2043,570
2044,571
2045,35
2046,35
2047,35
2048,35
2049,35
2050,384
2051,383
2052,27
2053,1046
2054,316
2055,315
2056,194
2057,194
2058,194
2059,194
2060,61
2061,61
2062,61
2063,61
2064,237
2065,238
2066,240
2067,240
2068,206
2069,204
2070,212
2071,211
2072,205
2073,434
2074,433
2075,435
2076,128
2077,128
2078,125
2079,217
2080,218
2081,231
2082,234
2083,232
2084,1059
2085,1071
2086,624
2087,329
2088,330
2089,525
2090,482
2091,505
2092,366
2093,339
2094,432
2095,217
2096,271
2097,271
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,16
2113,16
2114,219
2115,220
2116,220
2117,220
2118,0
2119,0
2120,0
2121,398
2122,386
2123,20
2124,20
2125,49
2126,49
2127,49
2128,49
2129,0
2130,0
2131,0
2132,45
2133,47
2134,0
2135,0
2136,0
2137,34
2138,34
2139,34
2140,34
2141,108
2142,111
2143,108
2144,26
2145,0
2146,0
2147,0
2148,0
2149,0
2150,41
2151,41
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,42
2162,42
2163,42
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,453
2171,452
2172,451
2173,14
2174,14
2175,0
2176,0
2177,0
2178,0
2179,34
2180,34
2181,34
2182,34
2183,45
2184,45
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,0
2197,8
2198,8
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,143
2220,141
2221,141
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,248
2245,242
2246,250
2247,0
2248,0
2249,0
2250,0
2251,0
2252,0
2253,247
2254,246
2255,243
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,66
2274,0
2275,66
2276,88
2277,87
2278,87
2279,0
2280,0
2281,0
2282,43
2283,42
2284,0
2285,0
2286,0
2287,150
2288,161
2289,161
2290,0
