,0
583,1762
584,280
585,276
586,272
587,274
588,228
589,228
590,332
591,331
592,331
593,809
594,822
595,821
596,506
597,507
598,506
599,489
600,1114
601,1164
602,291
603,291
604,291
605,400
606,395
607,158
608,164
609,162
610,361
611,253
612,1266
613,1271
614,1285
615,1031
616,1036
617,1037
618,1038
619,435
620,435
621,527
622,748
623,540
624,45
625,46
626,45
627,45
628,1262
629,1569
630,1592
631,1565
632,1563
633,1567
634,1649
635,1689
636,1686
637,1678
638,1687
639,1090
640,1121
641,1117
642,772
643,765
644,765
645,1363
646,817
647,675
648,694
649,1266
650,1270
651,1270
652,1270
653,1367
654,1391
655,545
656,543
657,542
658,745
659,739
660,651
661,614
662,615
663,614
664,1059
665,1058
666,254
667,254
668,254
669,218
670,219
671,210
672,399
673,435
674,151
675,151
676,151
677,151
678,361
679,362
680,130
681,131
682,131
683,129
684,321
685,324
686,421
687,417
688,416
689,390
690,385
691,311
692,311
693,312
694,312
695,299
696,287
697,347
698,352
699,349
700,640
701,640
702,645
703,339
704,337
705,159
706,162
707,139
708,139
709,68
710,68
711,312
712,314
713,314
714,362
715,364
716,352
717,282
718,283
719,330
720,330
721,123
722,123
723,116
724,26
725,216
726,186
727,224
728,621
729,645
730,656
731,59
732,59
733,141
734,139
735,138
736,0
737,0
738,0
739,0
740,17
741,17
742,340
743,274
744,274
745,153
746,153
747,153
748,52
749,52
750,52
751,52
752,24
753,24
754,101
755,98
756,98
757,481
758,492
759,250
760,98
761,281
762,177
763,179
764,23
765,23
766,23
767,23
768,23
769,39
770,228
771,226
772,39
773,39
774,39
775,26
776,8
777,21
778,23
779,113
780,113
781,113
782,23
783,23
784,23
785,41
786,41
787,14
788,14
789,14
790,88
791,39
792,39
793,39
794,17
795,415
796,414
797,413
798,154
799,154
800,154
801,154
802,0
803,0
804,247
805,238
806,244
807,14
808,14
809,37
810,37
811,37
812,36
813,634
814,636
815,637
816,635
817,635
818,119
819,118
820,104
821,106
822,23
823,23
824,23
825,23
826,448
827,408
828,380
829,287
830,287
831,286
832,24
833,26
834,26
835,261
836,261
837,261
838,261
839,260
840,261
841,261
842,80
843,156
844,46
845,0
846,392
847,393
848,392
849,1510
850,1516
851,1446
852,211
853,228
854,359
855,368
856,369
857,369
858,224
859,224
860,22
861,21
862,38
863,427
864,428
865,428
866,428
867,313
868,261
869,137
870,144
871,433
872,431
873,433
874,217
875,213
876,214
877,217
878,217
879,221
880,255
881,255
882,255
883,255
884,255
885,124
886,126
887,118
888,372
889,364
890,365
891,365
892,468
893,467
894,260
895,259
896,214
897,22
898,22
899,211
900,211
901,211
902,211
903,278
904,276
905,193
906,198
907,194
908,194
909,325
910,155
911,94
912,94
913,94
914,499
915,503
916,29
917,29
918,87
919,88
920,283
921,281
922,313
923,369
924,369
925,369
926,183
927,197
928,357
929,347
930,359
931,405
932,401
933,460
934,477
935,455
936,190
937,151
938,149
939,274
940,272
941,272
942,272
943,156
944,155
945,38
946,36
947,182
948,182
949,183
950,257
951,281
952,238
953,238
954,237
955,158
956,74
957,76
958,246
959,287
960,287
961,287
962,24
963,24
964,24
965,24
966,26
967,26
968,26
969,498
970,505
971,70
972,70
973,156
974,156
975,351
976,349
977,349
978,349
979,424
980,427
981,424
982,118
983,120
984,120
985,262
986,263
987,262
988,262
989,262
990,262
991,201
992,28
993,164
994,164
995,28
996,28
997,112
998,108
999,218
1000,195
1001,220
1002,91
1003,91
1004,91
1005,218
1006,217
1007,169
1008,19
1009,19
1010,168
1011,169
1012,0
1013,0
1014,0
1015,0
1016,180
1017,176
1018,26
1019,0
1020,0
1021,189
1022,190
1023,161
1024,156
1025,156
1026,24
1027,24
1028,24
1029,20
1030,20
1031,200
1032,200
1033,200
1034,200
1035,0
1036,0
1037,0
1038,22
1039,22
1040,22
1041,140
1042,23
1043,22
1044,272
1045,272
1046,274
1047,199
1048,202
1049,148
1050,148
1051,219
1052,222
1053,19
1054,19
1055,21
1056,254
1057,254
1058,254
1059,254
1060,367
1061,365
1062,358
1063,26
1064,26
1065,112
1066,144
1067,156
1068,156
1069,142
1070,141
1071,445
1072,444
1073,443
1074,17
1075,17
1076,369
1077,368
1078,368
1079,207
1080,23
1081,24
1082,24
1083,24
1084,24
1085,24
1086,70
1087,69
1088,25
1089,25
1090,25
1091,24
1092,227
1093,226
1094,157
1095,158
1096,235
1097,234
1098,234
1099,234
1100,213
1101,309
1102,306
1103,272
1104,272
1105,270
1106,218
1107,268
1108,136
1109,376
1110,0
1111,0
1112,0
1113,0
1114,229
1115,221
1116,128
1117,134
1118,134
1119,174
1120,174
1121,174
1122,185
1123,184
1124,184
1125,19
1126,19
1127,18
1128,81
1129,81
1130,24
1131,24
1132,24
1133,181
1134,179
1135,181
1136,24
